START PCMV Test
FW>
Return to idle mode
R:fua=0,lba=(0x010f5b70,0x10)
R:fua=0,lba=(0x0066c480,0x6)
R:fua=0,lba=(0x00e6466a,0x8)
R:fua=0,lba=(0x00e65d0a,0x40)
R:fua=0,lba=(0x00e6612a,0x40)
R:fua=0,lba=(0x00ca3b2a,0x40)
R:fua=0,lba=(0x00ca3f02,0x40)
R:fua=0,lba=(0x00b920a0,0x2)
R:fua=0,lba=(0x009262ea,0x40)
R:fua=0,lba=(0x00720670,0x8)
R:fua=0,lba=(0x00ff5322,0x30)
R:fua=0,lba=(0x00ca442c,0x20)
R:fua=0,lba=(0x00e64aaa,0x40)
R:fua=0,lba=(0x00ff52da,0x8)
R:fua=0,lba=(0x00ca407a,0x40)
R:fua=0,lba=(0x00ca3c3a,0x40)
R:fua=0,lba=(0x009262d2,0x18)
W:fua=0,lba=(0x0074bbc8,0x8)
R:fua=0,lba=(0x00559ff8,0xf)
R:fua=0,lba=(0x0089e532,0x38)
R:fua=0,lba=(0x00739730,0x8)
R:fua=0,lba=(0x00e64af2,0x40)
R:fua=0,lba=(0x00726e50,0x8)
R:fua=0,lba=(0x00ca3b0a,0x20)
R:fua=0,lba=(0x00ca440c,0x20)
R:fua=0,lba=(0x0114add0,0x40)
R:fua=0,lba=(0x0110e800,0x10)
R:fua=0,lba=(0x010f5ae0,0x10)
R:fua=0,lba=(0x00a3d6b0,0xa)
R:fua=0,lba=(0x00e65a1a,0x40)
R:fua=0,lba=(0x00ca4142,0x40)
R:fua=0,lba=(0x00a3892c,0x2)
R:fua=0,lba=(0x00726fb8,0x8)
R:fua=0,lba=(0x01453ed8,0xf)
R:fua=0,lba=(0x00e64a1a,0x40)
R:fua=0,lba=(0x00a38894,0x10)
R:fua=0,lba=(0x00ca43ec,0x20)
R:fua=0,lba=(0x00ca424c,0x20)
R:fua=0,lba=(0x0114ae90,0x40)
R:fua=0,lba=(0x01461680,0x40)
R:fua=0,lba=(0x01109440,0x10)
R:fua=0,lba=(0x010f5c20,0x10)
R:fua=0,lba=(0x00ca3b9a,0x40)
R:fua=0,lba=(0x00e5936a,0x20)
R:fua=0,lba=(0x00ca4102,0x40)
R:fua=0,lba=(0x00b84798,0x8)
R:fua=0,lba=(0x01461810,0x40)
R:fua=0,lba=(0x01109450,0x10)
R:fua=0,lba=(0x00e6499a,0x40)
R:fua=0,lba=(0x00ca43c4,0x20)
R:fua=0,lba=(0x00b847e9,0x8)
R:fua=0,lba=(0x01461740,0x40)
R:fua=0,lba=(0x00e6697a,0x40)
R:fua=0,lba=(0x014a9eb0,0x8)
R:fua=0,lba=(0x014aa5a0,0x10)
R:fua=0,lba=(0x0012d070,0x9)
R:fua=0,lba=(0x01109470,0x80)
R:fua=0,lba=(0x01109460,0x10)
R:fua=0,lba=(0x011094f0,0x20)
R:fua=0,lba=(0x00b84802,0x1)
R:fua=0,lba=(0x01461798,0x40)
R:fua=0,lba=(0x01461700,0x40)
R:fua=0,lba=(0x00e64ba2,0x40)
R:fua=0,lba=(0x00b84815,0x1)
R:fua=0,lba=(0x00e593e2,0x40)
R:fua=0,lba=(0x00b84803,0x12)
R:fua=0,lba=(0x00ca4454,0x20)
R:fua=0,lba=(0x010f6bb0,0x10)
R:fua=0,lba=(0x010f6680,0x10)
#:fua=0,lba=(0x00000000,0x1)
#:fua=0,lba=(0x00000000,0x1)
#:fua=0,lba=(0x00000000,0x1)
#:fua=0,lba=(0x00000000,0x1)
R:fua=0,lba=(0x00ca40c2,0x40)
R:fua=0,lba=(0x007270c8,0x8)
R:fua=0,lba=(0x00ca3bfa,0x40)
R:fua=0,lba=(0x010f6a40,0x10)
R:fua=0,lba=(0x00b8e618,0x11)
R:fua=0,lba=(0x00e64942,0x40)
R:fua=0,lba=(0x01112c30,0x10)
R:fua=0,lba=(0x00e64a6a,0x40)
R:fua=0,lba=(0x007223d0,0x8)
R:fua=0,lba=(0x001333c0,0x11)
R:fua=0,lba=(0x011092a0,0x10)
R:fua=0,lba=(0x01112890,0x10)
R:fua=0,lba=(0x01112c60,0x10)
R:fua=0,lba=(0x011128d0,0x10)
R:fua=0,lba=(0x007c5f78,0x8)
R:fua=0,lba=(0x007b20f0,0x8)
R:fua=0,lba=(0x007b20f0,0x8)
R:fua=0,lba=(0x010f5ad0,0x10)
R:fua=0,lba=(0x00e64b72,0x30)
R:fua=0,lba=(0x00e64e12,0x40)
R:fua=0,lba=(0x007c5fea,0x1c)
R:fua=0,lba=(0x00c072e8,0x8)
R:fua=0,lba=(0x00ca3eaa,0x40)
R:fua=0,lba=(0x00ca3dea,0x40)
R:fua=0,lba=(0x01133ba0,0x30)
R:fua=0,lba=(0x00cb6fc8,0x3)
R:fua=0,lba=(0x010f5fb0,0x10)
W:fua=0,lba=(0x01495ed8,0x8)
R:fua=0,lba=(0x00726f80,0x8)
R:fua=0,lba=(0x007c5fd2,0x18)
R:fua=0,lba=(0x00ca3e6a,0x40)
R:fua=0,lba=(0x00e64ca2,0x40)
R:fua=0,lba=(0x007c601b,0x3)
R:fua=0,lba=(0x007c6018,0x3)
R:fua=0,lba=(0x00ca41ea,0x3a)
R:fua=0,lba=(0x00926342,0x40)
R:fua=0,lba=(0x00847fa0,0x8)
R:fua=0,lba=(0x01454010,0x20)
R:fua=0,lba=(0x0013a220,0xd)
R:fua=0,lba=(0x0072cc48,0x8)
R:fua=0,lba=(0x00a84280,0x8)
R:fua=0,lba=(0x00714eb8,0x8)
R:fua=0,lba=(0x00ca4474,0x20)
R:fua=0,lba=(0x00847fb5,0x10)
R:fua=0,lba=(0x00a84388,0x20)
R:fua=0,lba=(0x00726d58,0x8)
R:fua=0,lba=(0x00f32d70,0x80)
R:fua=0,lba=(0x00f32df0,0x51)
R:fua=0,lba=(0x011121a0,0x10)
R:fua=0,lba=(0x00fb09f0,0x8)
R:fua=0,lba=(0x00847fd0,0x1)
R:fua=0,lba=(0x007d80d0,0x8)
R:fua=0,lba=(0x00a8440c,0x2)
R:fua=0,lba=(0x010f67e0,0x10)
R:fua=0,lba=(0x0089e61a,0x3d)
R:fua=0,lba=(0x00fb09f2,0x40)
R:fua=0,lba=(0x00e70642,0x40)
R:fua=0,lba=(0x007223e0,0x8)
R:fua=0,lba=(0x00847fc9,0x7)
R:fua=0,lba=(0x00a843fe,0x3)
R:fua=0,lba=(0x00fb0c2e,0x1a)
R:fua=0,lba=(0x01109310,0x10)
R:fua=0,lba=(0x0063eec8,0x5)
R:fua=0,lba=(0x00e70432,0x10)
R:fua=0,lba=(0x00a84409,0x3)
R:fua=0,lba=(0x00727a80,0x8)
R:fua=0,lba=(0x011093a0,0x10)
R:fua=0,lba=(0x00fb0b72,0x2)
R:fua=0,lba=(0x007c81d8,0x2f)
R:fua=0,lba=(0x00b8f640,0x2)
R:fua=0,lba=(0x00e70602,0x40)
R:fua=0,lba=(0x00a843e0,0x1e)
R:fua=0,lba=(0x00fb0b84,0x20)
R:fua=0,lba=(0x00c1e6e8,0x8)
R:fua=0,lba=(0x010f5ff0,0x10)
R:fua=0,lba=(0x00e70712,0x40)
R:fua=0,lba=(0x00728068,0x8)
W:fua=0,lba=(0x00dae1b8,0x8)
R:fua=0,lba=(0x00fb0b74,0x10)
R:fua=0,lba=(0x011092f0,0x10)
R:fua=0,lba=(0x00e706d2,0x40)
R:fua=0,lba=(0x00c2a398,0x17)
R:fua=0,lba=(0x0084a9d8,0x8)
R:fua=0,lba=(0x00720f88,0x8)
R:fua=0,lba=(0x00a27620,0x80)
R:fua=0,lba=(0x00a276a0,0x4e)
R:fua=0,lba=(0x008fb705,0x8)
R:fua=0,lba=(0x01109350,0x10)
R:fua=0,lba=(0x0084aa40,0x20)
R:fua=0,lba=(0x008fb719,0x1)
R:fua=0,lba=(0x00a276ed,0x1)
R:fua=0,lba=(0x00e70752,0x38)
R:fua=0,lba=(0x0071cc68,0x8)
R:fua=0,lba=(0x0063efd8,0x9)
R:fua=0,lba=(0x0093bec8,0x8)
R:fua=0,lba=(0x0084aa89,0x1)
R:fua=0,lba=(0x0093bef9,0x18)
R:fua=0,lba=(0x00a276ea,0x1)
R:fua=0,lba=(0x01109660,0x10)
R:fua=0,lba=(0x0072c198,0x8)
R:fua=0,lba=(0x00e9066f,0x4)
R:fua=0,lba=(0x00b8f650,0x2)
R:fua=0,lba=(0x00e90689,0x1)
R:fua=0,lba=(0x00a276eb,0x2)
R:fua=0,lba=(0x0084aa79,0x10)
R:fua=0,lba=(0x0093bf2c,0x1)
R:fua=0,lba=(0x0110e7c0,0x10)
R:fua=0,lba=(0x00e4c8d0,0x8)
W:fua=0,lba=(0x00de7c08,0x8)
R:fua=0,lba=(0x00e4c982,0x40)
R:fua=0,lba=(0x00e90673,0x8)
R:fua=0,lba=(0x0093bf29,0x3)
R:fua=0,lba=(0x00c1e6e0,0x6)
R:fua=0,lba=(0x011093c0,0x10)
R:fua=0,lba=(0x00fb0b32,0x40)
R:fua=0,lba=(0x00c072f0,0x8)
R:fua=0,lba=(0x00a84342,0x3e)
